job_id,template,distance_angstrom,multiplicity,status,energy_hartree,error_hint,output_path
job-0011,ring,1.9,3,finished,-148.743338856923,,jobs/job-0011/output.out
job-0014,ring,2.05,3,finished,-148.737786657517,,jobs/job-0014/output.out
job-0017,ring,2.2,3,finished,-148.73778665709,,jobs/job-0017/output.out
job-0019,trigonal_prism,1.45,1,finished,-148.737106377803,,jobs/job-0019/output.out
job-0073,distorted_prism_1,1.45,1,finished,-148.737094288566,,jobs/job-0073/output.out
job-0064,pentagonal_pyramid,1.9,1,finished,-148.737091827503,,jobs/job-0064/output.out
job-0055,pentagonal_pyramid,1.45,1,finished,-148.737091827467,,jobs/job-0055/output.out
job-0067,pentagonal_pyramid,2.05,1,finished,-148.737091826342,,jobs/job-0067/output.out
job-0058,pentagonal_pyramid,1.6,1,finished,-148.737091826163,,jobs/job-0058/output.out
job-0061,pentagonal_pyramid,1.75,1,finished,-148.737091823269,,jobs/job-0061/output.out
job-0070,pentagonal_pyramid,2.2,1,finished,-148.737091315804,,jobs/job-0070/output.out
job-0085,distorted_prism_1,2.05,1,finished,-148.737087709703,,jobs/job-0085/output.out
job-0082,distorted_prism_1,1.9,1,finished,-148.737086071115,,jobs/job-0082/output.out
job-0076,distorted_prism_1,1.6,1,finished,-148.737084761475,,jobs/job-0076/output.out
job-0079,distorted_prism_1,1.75,1,finished,-148.717726118831,,jobs/job-0079/output.out
job-0088,distorted_prism_1,2.2,1,finished,-148.717722585884,,jobs/job-0088/output.out
job-0016,ring,2.2,1,finished,-148.717721247395,,jobs/job-0016/output.out
job-0013,ring,2.05,1,finished,-148.714995777273,,jobs/job-0013/output.out
job-0010,ring,1.9,1,finished,-148.710642542737,,jobs/job-0010/output.out
job-0062,pentagonal_pyramid,1.75,3,finished,-148.709717011696,,jobs/job-0062/output.out
